sport,competition,primary_provider,dates_checked,upstream_fixtures,public_fixtures,fixture_recall,upstream_finished,public_finished,finished_with_result,finished_result_completeness,upstream_live,public_live,live_with_score,duplicates,mapping_failures,status,root_cause
"football","switzerland-super-league","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"cricket","t20-internationals","cricsheet","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","0","0","","","0","0","0","0","OK",""
"football","thai-league-1","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","8","","","6","6","1.0","","0","0","0","0","OK",""
"counter-strike","tier1","liquipedia","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"boxing","title-fights","bbc-sport","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"cycling","tour-de-france","aso-letour","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","tunisia-ligue-1","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","0","0","","","0","0","0","0","OK",""
"football","turkey-super-lig","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","2","","","1","1","1.0","","0","0","0","0","OK",""
"cycling","uci-calendar","gpcqm-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","uefa-champions-league","openligadb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","uefa-conference-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","uefa-europa-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","1","1","1.0","","0","0","0","0","OK",""
"futsal","uefa-futsal-champions-league","uefa-futsal-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","uefa-nations-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"mma","ufc","ufc-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"netball","uk-netball-superleague","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","ukraine-premier-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","7","","","2","2","1.0","","0","0","0","0","OK",""
"football","uruguay-primera","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","3","","","0","0","","","0","0","0","0","OK",""
"football","usa-nwsl","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","3","","","1","1","1.0","","0","0","0","0","OK",""
"football","usa-usl-championship","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","4","","","3","3","1.0","","0","0","0","0","OK",""
"harness-racing","usa-usta-meetings","meadowlands-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","uzbekistan-super-league","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","9","","","7","7","1.0","","0","0","0","0","OK",""
"valorant","vct","liquipedia","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","vietnam-v-league-1","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","0","0","","","0","0","0","0","OK",""
"athletics","wa-calendar","world-athletics-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"motorsport","wec","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"basketball","wnba","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","4","","","1","1","1.0","","0","0","0","0","OK",""
"football","womens-super-league","bbc-sport","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","13","","","10","10","1.0","","0","0","0","0","OK",""
"water-polo","world-aquatics-events","world-aquatics-api","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"swimming","world-aquatics-meets","omega-timing","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"lacrosse","world-lacrosse","world-lacrosse-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"netball","world-netball","world-netball-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"snooker","wst-events","bbc-sport","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"tennis","wta-tour","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","118","","","82","81","0.9878","","0","0","0","0","FT_MISSING_RESULT","FT_MISSING_RESULT"
